feature,count,mean,median,mode,variance,std_dev,coef_variation,min,max,range,q1,q3,iqr,skewness,kurtosis
loan_amnt,88333,14397.9161,12000.0,10000.0,73904421.2266,8596.7681,0.5971,1000.0,35000.0,34000.0,8000.0,20000.0,12000.0,0.7172,-0.2561
int_rate,88333,11.9614,11.53,9.17,17.0742,4.1321,0.3455,5.32,28.99,23.67,8.49,14.33,5.84,0.685,0.4648
installment,88333,430.0196,369.93,318.79,64262.0906,253.4997,0.5895,14.77,1354.66,1339.89,245.51,572.19,326.68,0.9468,0.5275
annual_inc,88333,77688.3436,65000.0,60000.0,8014092747.34,89521.4653,1.1523,0.0,9000000.0,9000000.0,46000.0,92678.0,46678.0,52.8508,4499.7725
dti,88331,18.997,18.42,15.6,94.0656,9.6987,0.5105,0.0,999.0,999.0,12.33,25.23,12.9,15.9693,1434.8931
fico_range_low,88333,694.4741,685.0,660.0,966.2862,31.0851,0.0448,660.0,845.0,185.0,670.0,710.0,40.0,1.3522,1.9629
revol_util,88297,51.6547,51.4,0.0,582.4486,24.134,0.4672,0.0,152.5,152.5,33.5,69.9,36.4,0.0111,-0.7734
delinq_2yrs,88333,0.3505,0.0,0.0,0.8627,0.9288,2.6501,0.0,30.0,30.0,0.0,0.0,0.0,5.2274,50.0091
inq_last_6mths,88333,0.5988,0.0,0.0,0.7852,0.8861,1.4798,0.0,5.0,5.0,0.0,1.0,1.0,1.7223,3.228
open_acc,88333,11.8635,11.0,9.0,32.075,5.6635,0.4774,1.0,67.0,66.0,8.0,15.0,7.0,1.2705,2.9403
pub_rec,88333,0.2453,0.0,0.0,0.5193,0.7206,2.9375,0.0,86.0,86.0,0.0,0.0,0.0,24.4013,2357.5709
revol_bal,88333,17032.5346,11269.0,0.0,543862437.5555,23320.8584,1.3692,0.0,898146.0,898146.0,5979.0,20436.0,14457.0,8.2139,134.9705
total_acc,88333,25.1599,23.0,20.0,147.5852,12.1485,0.4828,4.0,135.0,131.0,16.0,32.0,16.0,0.979,1.7098
fe_loan_to_income_ratio,88331,0.212,0.2,0.2,0.0142,0.1191,0.562,0.0003,10.0,9.9997,0.1235,0.2885,0.165,7.4099,533.9435
fe_monthly_installment_to_income_ratio,88331,0.0769,0.0706,0.0723,0.002,0.0445,0.5781,0.0001,4.4591,4.459,0.0454,0.1021,0.0567,12.1186,1087.9512
fe_credit_utilization,88297,51.6547,51.4,0.0,582.4486,24.134,0.4672,0.0,152.5,152.5,33.5,69.9,36.4,0.0111,-0.7734
fe_available_revolving_credit,88333,16834.3254,10636.0,0.0,394919080.2856,19872.5711,1.1805,-21422.0,437917.0,459339.0,4809.0,21345.0,16536.0,3.5815,25.4546
fe_credit_exposure,88333,31430.4507,25066.0,15000.0,753433963.3231,27448.7516,0.8733,1000.0,933146.0,932146.0,15696.0,39315.0,23619.0,5.7527,78.266
fe_debt_burden,88331,18.997,18.42,15.6,94.0656,9.6987,0.5105,0.0,999.0,999.0,12.33,25.23,12.9,15.9693,1434.8931
fe_credit_history_months,88333,200.7653,182.0,147.0,8473.2564,92.0503,0.4585,37.0,791.0,754.0,137.0,248.0,111.0,1.0626,1.5923
