,loan_amnt,int_rate,installment,annual_inc,dti,fico_range_low,revol_util,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,fe_loan_to_income_ratio,fe_monthly_installment_to_income_ratio,fe_credit_utilization,fe_available_revolving_credit,fe_credit_exposure,fe_debt_burden,fe_credit_history_months
loan_amnt,1.0,0.11869227644913048,0.9555913621527373,0.4247163446058358,0.023420043903044637,0.1282992601540299,0.10322805572856325,-0.003843754523635095,-0.011771830904133293,0.20822875592089662,-0.07618582930873315,0.3345525525465507,0.22149132701335514,0.422656334583552,0.32445486039759425,0.10322805572856325,0.24132419156637838,0.5871347905060073,0.023420043903044637,0.1584151270128584
int_rate,0.11869227644913048,1.0,0.09365965293358917,-0.13510776146055914,0.1801087561852236,-0.39740882627953705,0.17729537087737993,0.03623230205777795,0.2595966315282095,-0.008724657010390357,0.07529777742192775,-0.07457561022860176,-0.03544220130200046,0.2252764970464459,0.19356049840915876,0.17729537087737993,-0.27980416470421643,-0.028480401801051398,0.1801087561852236,-0.17722675076107305
installment,0.9555913621527373,0.09365965293358917,1.0,0.41867400277777167,0.01444339939096988,0.09648775347073195,0.11373526797648495,0.003841255536287753,0.0022675612274983396,0.18493141728526916,-0.06666705896499364,0.32338294882031443,0.18913422696823898,0.40394012553468134,0.3659855055875775,0.11373526797648495,0.21219531659308197,0.5642283776529511,0.01444339939096988,0.1406440798854289
annual_inc,0.4247163446058358,-0.13510776146055914,0.41867400277777167,1.0,-0.17408272222649881,0.09932538221785345,0.06529357120706886,0.05177597722500477,0.03036139340787456,0.18576999825822285,0.00797417483398383,0.3814252151084961,0.22282659887563752,-0.23523016831468177,-0.23457116975607206,0.06529357120706886,0.22499244332332508,0.45495150977247967,-0.17408272222649881,0.18867263269521845
dti,0.023420043903044637,0.1801087561852236,0.01444339939096988,-0.17408272222649881,1.0,-0.047004932441275134,0.12983985257990724,-0.004432799194163664,0.013688380352573588,0.23927792838609027,-0.0328651173695186,0.09480048660980177,0.18567842427513634,0.5374061059658267,0.5597760446094081,0.12983985257990724,-0.01018762439660683,0.08845269747416991,1.0,0.01965458284973006
fico_range_low,0.1282992601540299,-0.39740882627953705,0.09648775347073195,0.09932538221785345,-0.047004932441275134,1.0,-0.4205984770947223,-0.1790103956819072,-0.13838062050748387,0.05182831564878452,-0.20930909193099942,0.06750554729235833,0.03551678083081741,0.016157216995380048,-0.012914106637784346,-0.4205984770947223,0.4918024580209568,0.09644516814961852,-0.04700493244127506,0.12780558394347524
revol_util,0.10322805572856325,0.17729537087737993,0.11373526797648495,0.06529357120706886,0.12983985257990724,-0.4205984770947223,1.0,0.008339060226104603,-0.0929725790582102,-0.17087996329775182,-0.09015476925440234,0.2353419111151038,-0.1397686118736787,0.04756688933222655,0.04971163795863074,1.0,-0.4845454581981827,0.23309902449149045,0.12983985257990724,-0.003658156191072941
delinq_2yrs,-0.003843754523635095,0.03623230205777795,0.003841255536287753,0.05177597722500477,-0.004432799194163664,-0.1790103956819072,0.008339060226104603,1.0,0.02313133551574015,0.03348993485101798,-0.03107919823440587,-0.03019385415965166,0.11403113919506294,-0.054445180004551674,-0.047783778277231084,0.0083390602261046,-0.05781664024996675,-0.027088311231128277,-0.0044327991941636585,0.10138756407047468
inq_last_6mths,-0.011771830904133293,0.2595966315282095,0.0022675612274983396,0.03036139340787456,0.013688380352573588,-0.13838062050748387,-0.0929725790582102,0.02313133551574015,1.0,0.16185452143329682,0.11579772179598483,-0.007011084047961757,0.14389728544247685,-0.047383458646579314,-0.03313805527896715,-0.09297257905821019,0.026183920265572962,-0.009551134792624797,0.013688380352573578,-0.0160847346420258
open_acc,0.20822875592089662,-0.008724657010390357,0.18493141728526916,0.18576999825822285,0.23927792838609027,0.05182831564878452,-0.17087996329775182,0.03348993485101798,0.16185452143329682,1.0,-0.02401807296019946,0.22251683052613772,0.7065157213358845,0.005298413027682322,-0.020708363923995575,-0.1708799632977517,0.42988961350841776,0.2535573240376178,0.23927792838609027,0.1280294835043331
