,loan_amnt,int_rate,installment,annual_inc,dti,fico_range_low,revol_util,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,fe_loan_to_income_ratio,fe_monthly_installment_to_income_ratio,fe_credit_utilization,fe_available_revolving_credit,fe_credit_exposure,fe_debt_burden,fe_credit_history_months
loan_amnt,1.0,0.07357614481364018,0.9707923684433484,0.5017305540292168,0.04034233172889107,0.15122064808239713,0.10268294938019988,0.0002445629076439707,-0.020117714365395077,0.21786569532842506,-0.10880612639519753,0.485067790801868,0.23584881325150273,0.6206230141377689,0.5424567032065029,0.10268294938019988,0.27114670144931,0.8173437915291222,0.04034233172889107,0.1763816540542807
int_rate,0.07357614481364018,1.0,0.058281128595172385,-0.18082026714801427,0.2117631790909467,-0.4122585713387676,0.1979641826911971,0.053552653757650275,0.24173558590812985,-0.019761153101829104,0.09430872947119519,-0.10628865708021067,-0.05593988627664348,0.24921001347574884,0.2297227451417165,0.1979641826911971,-0.31687621696518564,-0.022518710403712783,0.2117631790909467,-0.1852862016367961
installment,0.9707923684433484,0.058281128595172385,1.0,0.4819211201715118,0.03516613124939877,0.12308658384434767,0.11452702553255706,0.003996911500026185,-0.007500202671840924,0.20025601207825036,-0.1019504222495334,0.46772538738501657,0.20918892127016525,0.6083429949769719,0.5889755570064145,0.11452702553255706,0.24544002054356862,0.7911954807559447,0.03516613124939877,0.15883912548582482
annual_inc,0.5017305540292168,-0.18082026714801427,0.4819211201715118,1.0,-0.2135824261720798,0.11455272574918031,0.07351961303914897,0.08723584269338112,0.03937826163553519,0.24048744344285866,-0.03825367092031946,0.40813950873771365,0.3176003598932979,-0.30179640740367375,-0.3586861178000931,0.07351961303914897,0.2409193825171446,0.5369956170154181,-0.2135824261720798,0.25286835286380366
dti,0.04034233172889107,0.2117631790909467,0.03516613124939877,-0.2135824261720798,1.0,-0.01168202713431157,0.14860371047973486,-0.007076855929407872,0.027302240557442493,0.33339264461892854,-0.05191768698290271,0.23356867485602292,0.2570208766453261,0.24010319306079905,0.23370809230970427,0.14860371047973486,0.03005725056889979,0.1696900743977834,1.0,0.033206940292540905
fico_range_low,0.15122064808239713,-0.4122585713387676,0.12308658384434767,0.11455272574918031,-0.01168202713431157,1.0,-0.36346555389786706,-0.20944144475652127,-0.14445649642342392,0.06612654281469535,-0.28579599234643427,0.11000103530424929,0.04074988405868821,0.05194439921740876,0.01567360244437749,-0.36346555389786706,0.4682257583403338,0.1543726991348658,-0.01168202713431157,0.10729244586867734
revol_util,0.10268294938019988,0.1979641826911971,0.11452702553255706,0.07351961303914897,0.14860371047973486,-0.36346555389786706,1.0,0.010310349291339449,-0.0927066170722425,-0.17537306251366389,-0.11559900662996188,0.4136699693473122,-0.1366446430706173,0.056416167394906985,0.0627915312493129,1.0,-0.6540878108972116,0.3012606128609542,0.14860371047973486,0.006062362444841611
delinq_2yrs,0.0002445629076439707,0.053552653757650275,0.003996911500026185,0.08723584269338112,-0.007076855929407872,-0.20944144475652127,0.010310349291339449,1.0,0.02569193708174148,0.04837408634624811,-0.054300595820979396,-0.05252941293367143,0.12071752771383809,-0.0678940113777844,-0.0652438465884862,0.010310349291339449,-0.059510130742501284,-0.026885511114921302,-0.007076855929407872,0.11719204108799718
inq_last_6mths,-0.020117714365395077,0.24173558590812985,-0.007500202671840924,0.03937826163553519,0.027302240557442493,-0.14445649642342392,-0.0927066170722425,0.02569193708174148,1.0,0.15193474831512227,0.12277393210135783,-0.053416191455636135,0.13382506735145908,-0.05392413943647995,-0.038722583249965116,-0.0927066170722425,0.053446988452520834,-0.039077081449030965,0.027302240557442493,-0.022212825200738723
open_acc,0.21786569532842506,-0.019761153101829104,0.20025601207825036,0.24048744344285866,0.33339264461892854,0.06612654281469535,-0.17537306251366389,0.04837408634624811,0.15193474831512227,1.0,-0.019238395397552843,0.36921777000730105,0.7003588184620442,0.02132309992072769,-0.011050798824881237,-0.17537306251366389,0.4961237552262249,0.34565413252454624,0.33339264461892854,0.1501688916271325
pub_rec,-0.10880612639519753,0.09430872947119519,-0.1019504222495334,-0.03825367092031946,-0.05191768698290271,-0.28579599234643427,-0.11559900662996188,-0.054300595820979396,0.12277393210135783,-0.019238395397552843,1.0,-0.23590890604706968,0.04479098101711124,-0.08941030019162918,-0.0779903272900247,-0.11559900662996188,-0.07666626447515461,-0.20189766291831665,-0.05191768698290271,0.07640534408376493
revol_bal,0.485067790801868,-0.10628865708021067,0.46772538738501657,0.40813950873771365,0.23356867485602292,0.11000103530424929,0.4136699693473122,-0.05252941293367143,-0.053416191455636135,0.36921777000730105,-0.23590890604706968,1.0,0.2845874498322219,0.16725715935499438,0.1225897284623183,0.4136699693473122,0.3230341105122357,0.8748377960102485,0.23356867485602292,0.26991673829475576
total_acc,0.23584881325150273,-0.05593988627664348,0.20918892127016525,0.3176003598932979,0.2570208766453261,0.04074988405868821,-0.1366446430706173,0.12071752771383809,0.13382506735145908,0.7003588184620442,0.04479098101711124,0.2845874498322219,1.0,-0.023927944566506893,-0.06792532258761462,-0.1366446430706173,0.3777374746097676,0.3115840033402422,0.2570208766453261,0.3146855983580285
fe_loan_to_income_ratio,0.6206230141377689,0.24921001347574884,0.6083429949769719,-0.30179640740367375,0.24010319306079905,0.05194439921740876,0.056416167394906985,-0.0678940113777844,-0.05392413943647995,0.02132309992072769,-0.08941030019162918,0.16725715935499438,-0.023927944566506893,1.0,0.9639840342493122,0.056416167394906985,0.0716625469738701,0.40813568420001745,0.24010319306079905,-0.027054872720068165
fe_monthly_installment_to_income_ratio,0.5424567032065029,0.2297227451417165,0.5889755570064145,-0.3586861178000931,0.23370809230970427,0.01567360244437749,0.0627915312493129,-0.0652438465884862,-0.038722583249965116,-0.011050798824881237,-0.0779903272900247,0.1225897284623183,-0.06792532258761462,0.9639840342493122,1.0,0.0627915312493129,0.031140082971925092,0.33828291742955763,0.23370809230970427,-0.057201768502524904
fe_credit_utilization,0.10268294938019988,0.1979641826911971,0.11452702553255706,0.07351961303914897,0.14860371047973486,-0.36346555389786706,1.0,0.010310349291339449,-0.0927066170722425,-0.17537306251366389,-0.11559900662996188,0.4136699693473122,-0.1366446430706173,0.056416167394906985,0.0627915312493129,1.0,-0.6540878108972116,0.3012606128609542,0.14860371047973486,0.006062362444841611
fe_available_revolving_credit,0.27114670144931,-0.31687621696518564,0.24544002054356862,0.2409193825171446,0.03005725056889979,0.4682257583403338,-0.6540878108972116,-0.059510130742501284,0.053446988452520834,0.4961237552262249,-0.07666626447515461,0.3230341105122357,0.3777374746097676,0.0716625469738701,0.031140082971925092,-0.6540878108972116,1.0,0.34827529230413423,0.03005725056889979,0.21188688688903534
fe_credit_exposure,0.8173437915291222,-0.022518710403712783,0.7911954807559447,0.5369956170154181,0.1696900743977834,0.1543726991348658,0.3012606128609542,-0.026885511114921302,-0.039077081449030965,0.34565413252454624,-0.20189766291831665,0.8748377960102485,0.3115840033402422,0.40813568420001745,0.33828291742955763,0.3012606128609542,0.34827529230413423,1.0,0.1696900743977834,0.27442144411678715
fe_debt_burden,0.04034233172889107,0.2117631790909467,0.03516613124939877,-0.2135824261720798,1.0,-0.01168202713431157,0.14860371047973486,-0.007076855929407872,0.027302240557442493,0.33339264461892854,-0.05191768698290271,0.23356867485602292,0.2570208766453261,0.24010319306079905,0.23370809230970427,0.14860371047973486,0.03005725056889979,0.1696900743977834,1.0,0.033206940292540905
fe_credit_history_months,0.1763816540542807,-0.1852862016367961,0.15883912548582482,0.25286835286380366,0.033206940292540905,0.10729244586867734,0.006062362444841611,0.11719204108799718,-0.022212825200738723,0.1501688916271325,0.07640534408376493,0.26991673829475576,0.3146855983580285,-0.027054872720068165,-0.057201768502524904,0.006062362444841611,0.21188688688903534,0.27442144411678715,0.033206940292540905,1.0
